	Speckle	Interior_Act1	Interior_Act2	Interior_Act3	Interior_Repr1	Interior_Repr2	Near_Lm1	Near_Lm2	Lamina
A1	2.9758171920745435	-3.0856130817241043	0.9169018404674506	-17.355395557764513	-16.32268745107583	-15.333241666636562	-5.36120688847581	-16.20325475457927	-17.9959633440009
A2	0.9792986747336698	1.8247730072094708	1.2999196120325809	-5.599444384265148	-1.6389915738252874	-1.4996063590472024	-0.3957907540137357	-16.20325475457927	-17.9959633440009
A3	-8.806892602324004	1.4535368632635735	-0.8856058694043626	0.7232620634189695	1.1137752593886734	0.2902252321562098	-0.11663170836494702	-2.3479034147218005	-5.748095276753233
B1	0.36325849729801774	0.0064801298227083306	2.0257001284117337	-3.527277881291134	0.14052094041781568	1.360214400983738	1.874961119122076	-1.9289072401862177	-17.9959633440009
Quies	-16.66836346177414	-1.84666518403472	-4.061923771039422	1.2447181222731578	0.8660512346125202	0.7457480329711391	-0.1746134140591215	0.8160970694061372	-0.6017492179411698
Inactive	-16.66836346177414	-6.853536547101207	-4.60623987843449	-0.6706217620361964	-1.8082158422941235	-1.5006365769761463	-3.590983990031571	0.8308960538692829	1.4506281394381961
B4	-0.9462215684675339	-1.5524897948606953	1.9115553405821966	-17.355395557764513	-2.793095319701423	-0.1516560232143489	3.773726790654792	-5.480285728126446	-17.9959633440009
