name	Speckle	Interior_Act1	Interior_Act2	Interior_Act3	Interior_Repr1	Interior_Repr2	Near_Lm1	Near_Lm2	Lamina
A1	0.8193832599118943	0.01692557384651055	0.16276373753767678	0.0	0.0	0.0	0.0009274287039183863	0.0	0.0
A2	0.2053399923165578	0.5090280445639647	0.21225509028044565	0.0034575489819439107	0.02631578947368421	0.014598540145985401	0.029004994237418362	0.0	0.0
A3	0.0002315618849137432	0.3935394234109066	0.04665971981011925	0.27683223341438	0.17737640384392728	0.05048049091119602	0.03519740650688897	0.014819960634479564	0.004862799583188607
B1	0.13397564079258317	0.14433739320123615	0.3510270859843665	0.014542810398109434	0.09034720959825486	0.1059807307762225	0.13997455008180332	0.019814579167424105	0.0
Quies	0.0	0.03995017350298069	0.005160601476999733	0.39736631372897946	0.14939051517038882	0.069223240501824	0.033810837263101697	0.1328410000889759	0.1722573182667497
Inactive	0.0	0.0012415419951579863	0.003538394686200261	0.10534483828915513	0.02340306660872804	0.014588118443106339	0.0031659320876528648	0.13421068967657832	0.7145074182134211
B4	0.05405405405405406	0.048986486486486486	0.32432432432432434	0.0	0.011824324324324325	0.037162162162162164	0.5219594594594594	0.0016891891891891893	0.0
