name	H1hESC	HFFc6	K562	HCT116	HAP1	RPEhTERT	U2OS
A1	0.0	0.017853002550428935	0.0	0.003941571991653142	0.0	0.024113146301878042	0.0
A2	0.001535213970447131	0.1516023795816542	0.015735943197083095	0.05507580118979083	0.027058146229130685	0.1805795432738438	0.019190174630589137
A3	0.11135497285433753	0.294905856532286	0.14820376573870855	0.22744599745870395	0.2106965461476262	0.3498902622155481	0.18043202033036848
B1	0.13343028540265406	0.65715324486457	0.2654062897654972	0.5655335393564807	0.4459189238320305	0.7180512634066534	0.28431194328303944
Quies	0.6237808122007448	0.5850328072353254	0.632026955133889	0.6882425962050008	0.6267068629189573	0.676981734350062	0.7054442276999467
Inactive	0.9625447365173393	0.8152536097741577	0.9602616314945082	0.9460693570282611	0.8906577810687399	0.9193508577070221	0.9837714426755523
B4	0.15781710914454278	0.6415929203539823	0.4498525073746313	0.6076696165191741	0.5339233038348082	0.6224188790560472	0.33480825958702065
