	Speckle	Interior_Act1	Interior_Act2	Interior_Act3	Interior_Repr1	Interior_Repr2	Near_Lm1	Near_Lm2	Lamina_Like	Lamina
A1	3.425265681129562	2.2567511735843238	-2.2383748890191195	-6.834216072716653	-3.4421242995083445	-7.057127480260811	-16.900352587720064	-17.213835537132454	-14.021476947831632	-18.04206293914267
A2	-1.6456311797000132	1.7312153675152486	2.601864860520358	0.08348124168619639	0.24809864983275165	0.3777205350238322	-3.228555163697449	-8.042145219143	-2.5298612171102204	-18.04206293914267
A3	-15.799789951372826	-5.374269480792029	0.4130899207620725	1.8643086548440393	-0.7398315376224102	0.38169037351685914	0.9302811855568534	-1.4490031643147774	-0.14709594043041618	-4.560663043732803
B1	-1.0457198449226732	1.2083899469926374	0.2392753018377977	-2.0904913617779135	2.2725558375106885	2.3444892545035683	-0.25469678231845805	-1.4645449799232992	-1.3057187228072518	-4.060149957731543
Quies	-15.799789951372826	-16.226966983059626	-3.668686464166255	0.10063202853110359	-1.3610398409126339	-1.0982048656538679	1.0832320342296626	1.1539810112257005	0.5469594577879624	-0.5300511272599553
Inactive	-15.799789951372826	-16.226966983059626	-9.20250169779116	-3.6574460249862457	-1.841026808828099	-7.643225650115334	-1.4669844752433436	0.410075692040905	-0.5660476662928713	1.4176919041299814
B4	0.8012775402357205	0.5747959739880062	-0.9262086109859756	-2.894473350545663	2.763075409446907	-0.5243495577972238	-0.6929443915271877	-4.678628675354126	4.320846103328086	-4.047579137211359
