name	Speckle	Interior_Act1	Interior_Act2	Interior_Act3	Interior_Repr1	Interior_Repr2	Near_Lm1	Near_Lm2	Lamina_Like	Lamina
A1	0.6127985161140738	0.3665661952237422	0.01553443079063297	0.001159285879897983	0.0034778576396939484	0.0004637143519591931	0.0	0.0	0.0	0.0
A2	0.01823066589905968	0.25465361734791786	0.4450201496833621	0.1402801765496066	0.044905008635578586	0.08040683170216849	0.013049318748800614	0.0005757052389176742	0.0028785261945883708	0.0
A3	0.0	0.0018482153170844404	0.09760887143352201	0.4820376573870856	0.022640637634284394	0.08062839320780871	0.23310615686727504	0.055677486427168764	0.015016749451311078	0.011435832274459974
B1	0.027631339756407927	0.17724050172695874	0.08652972186875113	0.031085257225958916	0.18269405562624977	0.31430648972914016	0.10252681330667152	0.05508089438283948	0.006726049809125613	0.016178876567896745
Quies	0.0	0.0	0.005763433232842703	0.14195779393509486	0.01471892179464444	0.02890583436779571	0.2591771590707572	0.3382691966660755	0.024295087781521545	0.18691257315126797
Inactive	0.0	0.0	0.00012342631449024932	0.010491236731671192	0.010552949888916316	0.0003085657862256233	0.044248333744754384	0.201987163663293	0.011231794618612689	0.7210565292520366
B4	0.09940652818991098	0.1142433234421365	0.03857566765578635	0.017804154302670624	0.25667655786350146	0.04302670623145401	0.07566765578635015	0.005934718100890208	0.3323442136498516	0.016320474777448073
